CustomerID,CustomerName,Age,Gender,SeniorCitizen,MaritalStatus,Dependents,City,State,Country,JoinDate,TenureMonths,ContractType,Plan,InternetService,TechSupport,OnlineSecurity,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportTickets,SatisfactionScore,AvgMonthlyGB,LatePayments,Churn
100000,Matthew Jones,30,Female,Yes,Divorced,Yes,West Brandihaven,IL,USA,2022-07-01,42,Month-to-month,Basic,None,No,Yes,Yes,Yes,No,Yes,Credit Card,62.51,2602.66,3,5,68,6,No
100001,Benjamin Davis,36,Male,No,Divorced,Yes,Brownshire,DE,USA,2020-10-12,7,Two year,basic,DSL,No,Yes,Yes,Yes,Yes,No,Mailed Check,29.43,304.78,5,4,604,7,No
100002,Lauren Brown,28,,No,Married,No,Williamsbury,AZ,USA,29/03/2026,47,Two year,standard,Fiber,Yes,No,Yes,No,Yes,No,Mailed Check,48.6,,0,1,787,8,No
100003,Jason Fernandez,76,Male,Yes,Married,No, ANNBURGH ,CT,USA,11-24-2023,41,Two year,standard,Fiber,Yes,No,No,No,No,No,Credit Card,91.05,,7,3,177,1,No
100004,Jacqueline Kelley,68,Female,No,Single,Yes,New Brianborough,NM,USA,17/01/2024,64,One year,Basic,Cable,Yes,No,No,No,No,No,Bank Transfer,45.73,2939.83,2,1,185,2,No
100005,Ernest Richards,51,Female,Yes,Single,No,Wardbury,WY,USA,08-21-2024,30,One year,Premium,Cable,Yes,Yes,No,No,No,No,Mailed Check,47.17,1457.84,1,4,654,6,No
100006,Angela Evans,61,Male,Yes,Single,Yes,Goldenmouth,LA,USA,08-20-2021,8,Month-to-month,Basic,Cable,Yes,Yes,Yes,No,Yes,No,Electronic Check,31.4,252.51,9,3,490,1,Yes
100007,Jose Martin,28,Male,Yes,Divorced,No,Edwinfort,MT,USA,03-17-2024,15,One year,Standard,None,Yes,Yes,Yes,No,Yes,Yes,Electronic Check,119.34,1830.0,10,1,717,4,No
100008,Pamela Berry,82,Female,Yes,Divorced,Yes,Matthewstad,PA,USA,2020-10-15,67,One year,Standard,DSL,Yes,No,No,Yes,Yes,No,Mailed Check,111.28,,4,2,714,5,Yes
100009,Andrea Davis,46,Male,Yes,Married,Yes,Thomasland,AR,USA,15/07/2023,58,Month-to-month,Premium,None,Yes,No,No,Yes,Yes,No,Bank Transfer,118.86,7007.13,7,2,449,5,No
100010,Kenneth Maldonado,38,Male,Yes,Single,Yes,Mitchellfurt,FM,USA,12-10-2024,12,One year,Premium,DSL,No,No,Yes,Yes,Yes,Yes,Credit Card,62.6,781.41,8,2,449,3,No
100011,Joel Jackson,59,Female,No,Single,Yes,South Brianport,DC,USA,07-26-2024,28,One year,Basic,None,No,Yes,Yes,Yes,No,Yes,Credit Card,48.92,1383.7,2,2,149,7,Yes
100012,Thomas Crawford,79,Male,Yes,Single,Yes,South Richard,KY,USA,26/12/2024,16,Month-to-month,Premium,Fiber,No,Yes,Yes,No,No,Yes,Electronic Check,30.87,566.27,7,5,551,7,No
100013,Sharon Ramirez,51,Male,No,Single,No,Downsfurt,IN,USA,2025-11-09,65,One year,basic,None,No,Yes,Yes,No,Yes,Yes,Electronic Check,91.43,6044.43,1,2,738,5,No
100014,David Hall,30,Female,No,Single,Yes,Guerraburgh,KS,USA,2021-06-17,19,Two year,Standard,None,No,No,No,Yes,No,No,Credit Card,108.87,2183.66,5,1,351,8,Yes
100015,Joseph Bishop,55,Male,Yes,Single,Yes,Stephaniehaven,RI,USA,2022-03-31,59,One year,Standard,Cable,Yes,Yes,No,Yes,No,No,Mailed Check,91.8,5443.85,2,5,532,7,No
100016,Joyce Pitts,27,Female,Yes,Divorced,Yes,Sandersfurt,CT,USA,26/06/2024,42,Month-to-month,Basic,DSL,Yes,No,Yes,No,Yes,No,Mailed Check,51.51,2253.36,4,5,137,0,Yes
100017,connor rollins,24,,Yes,Married,No,Martinmouth,PA,USA,06-12-2023,68,Month-to-month,Premium,Cable,No,Yes,No,No,Yes,No,Credit Card,47.65,3226.62,0,1,755,8,Yes
100018,Christian Garcia,73,Female,No,Divorced,No,Christinaland,VI,USA,11-14-2020,71,Month-to-month,Basic,DSL,No,Yes,Yes,No,No,Yes,Bank Transfer,73.85,5250.2,0,1,645,4,No
100019,Mark Moses,82,Female,Yes,Divorced,No,Thomasville,PR,USA,2021-10-20,56,One year,Basic,DSL,Yes,No,No,Yes,No,No,Electronic Check,30.26,1764.34,8,3,255,0,No
100020,Karen Collins,78,Female,Yes,Single,Yes,North Kara,WA,USA,2023-06-26,40,One year,Basic,Fiber,Yes,No,Yes,No,Yes,No,Electronic Check,58.88,2325.36,10,2,91,8,No
100021,Candice Johnson,59,Female,Yes,Married,Yes,Dwayneside,PW,USA,2022-02-22,20,Two year,Premium,None,Yes,Yes,Yes,Yes,Yes,Yes,Bank Transfer,109.82,2284.01,10,3,112,6,No
100022,Veronica Boyer,49,Female,No,Single,No,Aprilburgh,MI,USA,2020-09-19,58,Two year,Premium,Fiber,Yes,No,No,Yes,No,Yes,Bank Transfer,29.82,1702.39,3,4,510,6,No
100023,Peggy Rivera,43,Male,Yes,Married,No,New Lisa,WV,USA,03-10-2025,10,Two year,Standard,Cable,Yes,Yes,No,Yes,No,No,Credit Card,111.49,1128.0,3,4,302,8,Yes
100024,Sabrina Singh,43,Female,Yes,Married,Yes, EAST ZACHARY ,MI,USA,02/09/2025,37,One year,Standard,Fiber,No,No,No,Yes,Yes,Yes,Credit Card,69.26,,2,5,273,5,No
100025,Rachel Kennedy MD,64,Male,No,Married,No,Sethstad,MN,USA,2024-12-10,17,Month-to-month,Premium,Fiber,No,No,No,No,Yes,No,Electronic Check,102.92,1795.95,6,3,128,5,No
100026,John Morgan,43,,No,Married,No,Hansontown,NJ,USA,2021-01-14,1,One year,Standard,None,Yes,No,No,No,Yes,No,Credit Card,96.32,192.19,0,3,655,2,Yes
100027,Mason Davenport,72,Male,No,Divorced,Yes,South Kimberlyborough,NJ,USA,01-04-2026,32,Month-to-month,Standard,Fiber,No,No,Yes,No,No,Yes,Bank Transfer,66.44,2143.42,2,4,429,5,No
100028,Mark Miller,69,Male,No,Married,No,Fordland,VA,USA,2025-11-21,37,Month-to-month,Standard,DSL,Yes,Yes,No,Yes,No,No,Mailed Check,49.3,1904.91,6,2,565,3,No
100029,Alyssa Garza DDS,65,Female,Yes,Single,No, NEW MARGARET ,NJ,USA,05/07/2021,32,One year,basic,DSL,No,No,No,Yes,No,No,Electronic Check,41.6,,2,5,546,3,No
